Number_Of_Cases,Street_Address,Latitude,Longitude,Cluster_Number,Recent_Cases_In_Cluster,Total_Cases_In_Cluster,Date,Month_Number
1,sims drive (block 50),1.316616,103.8784359,78,2,2,140815,8
1,tampines street 71 (block 710),1.35876,103.937685,79,2,2,140815,8
1,tampines street 71 (block 712),1.35901,103.937079,79,2,2,140815,8
2,tanjong rhu road,1.2974236,103.876491,80,2,2,140815,8
1,telok blangah heights (block 59),1.2754997,103.8132409,81,2,2,140815,8
1,telok blangah heights (block 61),1.2757628,103.8117158,81,2,2,140815,8
1,towner road (block 103),1.32073,103.861588,82,2,2,140815,8
1,whampoa west (block 34),1.3204115,103.8637264,82,2,2,140815,8
1,upper boon keng road (block 14a),1.3152254,103.8705195,83,2,2,140815,8
1,upper boon keng road (block 16),1.3155296,103.871519,83,2,2,140815,8
